Sport,League,TeamRaw
"Soccer","Latvia Virsliga","Rigas Futbola Skola"
"Soccer","Turkey 2. Lig","Kahramanmaras Istiklal"
"Soccer","Turkey 2. Lig","Sakaryaspor"
"Soccer","Turkey 2. Lig","Kahramanmaras Istiklalspor"
"Handball","Poland Superliga","KPR Gwardia Opole"
"Handball","Poland Superliga","Handball Stal Mielec"
"Handball","Poland Superliga","Gwardia Opole"
"Handball","Poland Superliga","SPR Stal Mielec"
"Soccer","Korea K1","Gangwon FC"
"Soccer","Korea K1","Jeju SK"
"Soccer","Korea K1","Gangwon"
"Soccer","Korea K1","Jeju Utd"
"Soccer","Switzerland Super League","Lausanne-Sport"
"Soccer","Hong Kong Premier League","Citizen AA"
"Soccer","Korea K1","Jeju United FC"
"Soccer","Norway Eliteserien","Odd BK"
"Soccer","Norway Eliteserien","Egersunds"
"Soccer","Norway Division 1","Odds BK"
"Soccer","Norway Division 1","Egersund"
"Soccer","Norway Eliteserien","Odds BK"
"Soccer","Norway Eliteserien","Egersund"
"Soccer","Switzerland Challenge League","Yverdon-Sport"
"Soccer","Switzerland Challenge League","Stade Lausanne Ouchy"
"Soccer","Turkey Super League","Amed Sportif Faliyetler"
"Soccer","Turkey Super League","Besiktas"
"Soccer","Turkey Super League","Amed Sportif Faaliyetler"
"Soccer","Denmark Superliga","Viborg"
"Soccer","Denmark Superliga","FC Nordsjaelland"
"Soccer","Asian Games U23","Hong Kong"
"Soccer","Asian Games U23","Thailand"
"Soccer","Germany Bundesliga","Leverkusen"
"Soccer","Germany Bundesliga","RB Leipzig"
"Soccer","Germany Bundesliga","Bayer Leverkusen"
"Soccer","Turkey Super League","Goztepe"
"Soccer","Turkey Super League","Caykur Rizespor"
"Soccer","Ukraine Premier League","Shakhtar Donetsk"
"Soccer","Ukraine Premier League","LNZ Cherkasy"
"Soccer","Ukraine Premier League","Shakhtar"
"Soccer","Ukraine Premier League","LNZ-Lebedyn"
"Soccer","Argentina Liga Profesional","Platense"
"Soccer","Argentina Liga Profesional","Newells Old Boys"
"Soccer","Argentina Liga Profesional","Newell's Old Boys"
"Soccer","Argentina Liga Profesional","San Lorenzo"
"Soccer","Argentina Liga Profesional","Boca Juniors"
"Soccer","Argentina Liga Profesional","San Lorenzo de Almagro"
"Soccer","Bolivian Cup","CDT Real Oruro"
"Soccer","Bolivian Cup","CD Gualberto Villarroel"
"Soccer","Asian Games U23","North Korea"
"Soccer","Asian Games U23","United Arab Emirates"
"Soccer","Argentina Torneo Federal A","CA Bartolome Mitre"
"Soccer","Argentina Torneo Federal A","Club Sportivo General San Martin"
"Soccer","Argentina Torneo Federal A","Bartolome Mitre"
"Soccer","Argentina Torneo Federal A","San Martin Formosa"
"Soccer","Argentina Torneo Federal A","Villa Mitre De Bahia Blanca"
"Soccer","Argentina Torneo Federal A","Kimberley De Mar Del Plata"
"Soccer","Argentina Torneo Federal A","Club Villa Mitre"
"Soccer","Argentina Torneo Federal A","Kimberley Mar del Plata"
"Soccer","Argentina Torneo Federal A","Huracan Las Heras"
"Soccer","Argentina Torneo Federal A","Sportivo Y Biblioteca Atenas"
"Soccer","FIFA World Cup U20 W","Nigeria"
"Soccer","FIFA World Cup U20 W","Colombia"
"Soccer","FIFA World Cup U20 W","Nigeria Women U20"
"Soccer","FIFA World Cup U20 W","Colombia Women U20"
"Soccer","Hong Kong Premier League","Resources Capital"
"Soccer","Argentina Torneo Federal A","CA Alvarado"
"Soccer","Argentina Torneo Federal A","Olimpo Bahia Blanca"
"Soccer","Argentina Torneo Federal A","Alvarado"
"Soccer","Argentina Torneo Federal A","Sarmiento de la Banda"
"Soccer","Argentina Torneo Federal A","Defensores de Belgrano VR"
"Soccer","Argentina Torneo Federal A","CA Sarmiento De La Banda"
"Soccer","Argentina Torneo Federal A","Defensores De Belgrano De Villa Ramallo"
"Soccer","Brazil Serie A","Corinthians SP"
"Soccer","Brazil Serie A","Fluminense FC"
"Soccer","Brazil Serie A","Corinthians"
"Soccer","Brazil Serie A","Fluminense"
"Soccer","Korea K1","Jeju Sk Fc"
"Soccer","Czech Republic Premier League","Jablonec"
"Soccer","Czech Republic Premier League","Zlin"
"Soccer","Denmark Superliga","Horsens"
"Soccer","Denmark Superliga","AGF"
"Soccer","Denmark Superliga","Sonderjyske"
"Soccer","Denmark Superliga","Randers"
"Soccer","Vietnam Cup","Xuan Thien Phu Tho"
"Soccer","Vietnam Cup","Hong Linh Ha Tinh"
"Soccer","France Ligue 1","Paris Saint-Germain"
"Soccer","Switzerland Challenge League","Yverdon Sport"
"Soccer","Switzerland Challenge League","Stade Lausanne-Ouchy"
"Soccer","Estonia Meistriliiga","JK Narva Trans"
"Soccer","Estonia Meistriliiga","FCI Levadia Tallinn"
"Soccer","Estonia Meistriliiga","Trans Narva"
"Soccer","Estonia Meistriliiga","FCI Tallinn"
"Soccer","Bulgaria B League","Etar Veliko Tarnovo"
"Soccer","Bulgaria B League","Chernomorets 1919 Burgas"
"Soccer","Bulgaria B League","Etar"
"Soccer","Bulgaria B League","Chernomorets Bourgas"
"Soccer","Bulgaria A League","Spartak Varna"
"Soccer","Bulgaria A League","Lokomotiv Sofia"
"Soccer","India BDFA Super Division","Spartak Varna"
"Soccer","India BDFA Super Division","FC Lokomotiv 1929 Sofia"
"Soccer","Korea K2","Ansan Greeners FC"
"Soccer","Korea K2","Cheongju FC"
"Soccer","Korea K2","Ansan Greeners"
"Soccer","Korea K2","Chungbuk Cheongju"
"Soccer","Japan J3","Sagamihara"
"Soccer","Japan J3","Giravanz Kitakyushu"
"Soccer","Japan J3","Kitakyushu"
"Soccer","Turkey Super League","Fenerbahce"
"Soccer","Turkey Super League","Eyupspor"
"Soccer","Turkey Super League","Fenerbahçe"
"Soccer","Turkey Super League","Eyüpspor"
"Soccer","Spain Division 4","Antoniano"
"Soccer","Spain Division 4","Mijas-Las Lagunas"
"Soccer","Japan J1","YSCC Yokohama"
"Soccer","Japan J1","Briobecca Urayasu"
"Soccer","Asian Games","Korea Republic U23"
"Soccer","Asian Games","Saudi Arabia U23"
"Soccer","Asian Games","Korea Republic AM"
"Soccer","Asian Games","Saudi Arabia AM"
"Soccer","Japan J1","Machida Zelvia"
"Soccer","Japan J1","Kashiwa Reysol"
"Soccer","Italy Serie C","Potenza"
"Soccer","Italy Serie C","Cavese 1919"
"Soccer","Italy Serie C","Cavese"
"Basketball","WNBA","Las Vegas Aces"
"Basketball","WNBA","Seattle Storm"
"Basketball","WNBA","Las Vegas Aces W"
"Basketball","WNBA","Seattle Storm W"
"Basketball","Norway BLNO","Kongsberg Miners"
"Basketball","Norway BLNO","Nidaros Jets"
"Soccer","Scotland Premiership","Celtic"
"Soccer","Scotland Premiership","Rangers"
