Sport1,League1,Sport2,League2,Sport3,League3
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Soccer","Japanese League Cup W","Soccer","Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","Other Competitions Soccer"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","Other Competitions Soccer"
"Soccer","Japanese League Cup W","Soccer","Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Netherlands Dutch Cup","Soccer","Dutch Cup","Soccer","Dutch Cup"
"Tennis","ATP 250","Tennis","ATP"
"Soccer","Asian Games","Soccer","Other Competitions Soccer","Soccer","Other Competitions Soccer"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Soccer","Japan Cup","Soccer","Japan Japanese Emperor Cup"
"Soccer","European U21 Championship","Soccer","UEFA U21 Euro"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Soccer","UEFA Nations League B","Soccer","UEFA Nations League D"
"Soccer","European U21 Championship","Soccer","UEFA U21 Euro"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Soccer","International Other Competitions Soccer","Soccer","Japanese League Cup W"
"Tennis","ATP 250","Tennis","ATP"
"Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Soccer","Morocco Botola Pro","Soccer","Morocco Morocco Botola"
"Tennis","ITF W50 Yecla ESP","Tennis","ITF W50"
"Soccer","Japanese League Cup W","Soccer","Japanese League Cup W","Soccer","International Other Competitions Soccer"
"Tennis","ATP 250","Tennis","ATP Hangzhou R1"
"Soccer","International UEFA Ladies Europa Cup","Soccer","UEFA Europa Cup Women"
"Tennis","ITF W50 Berkeley USA","Tennis","ITF Women Berkeley R1"
"Tennis","ITF M25","Tennis","ITF Men Pardubice R1"
"Soccer","Japan Emperor�s Cup","Soccer","Japan Emperor�s Cup","Soccer","Emperor's Cup"
"Tennis","ATP Hangzhou R1","Tennis","ATP"
"Soccer","Women Europa Cup","Soccer","International UEFA Ladies Europa Cup"
"Soccer","COSAFA U20 Cup","Soccer","International Friendlies"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer"
"Soccer","Asian Games","Soccer","International Other Competitions Soccer","Soccer","International Other Competitions Soccer"
"Tennis","ITF Men Sharm El Sheikh R1","Tennis","ITF M25"
"Basketball","Japan B2 League","Basketball","Japan Japan B2 League"
